Data,Object Value,Runtime
wta_100x200x1.txt,2926.7788781577947,0.03891563415527344
wta_100x200x2.txt,127.80511881425672,0.03862929344177246
wta_100x200x3.txt,17.024566697258663,0.04654693603515625
wta_150x300x1.txt,3759.0584586823175,0.07965373992919922
wta_150x300x2.txt,121.44052248186682,0.10865211486816406
wta_150x300x3.txt,13.068544459183565,0.13953900337219238
wta_200x400x1.txt,5042.485588724209,0.17532134056091309
wta_200x400x2.txt,141.28107347736008,0.24545931816101074
wta_200x400x3.txt,12.066955000365505,0.3145632743835449
wta_250x500x1.txt,6801.268778260583,0.32541656494140625
wta_250x500x2.txt,139.0969571533239,0.45420122146606445
wta_250x500x3.txt,12.19235696740478,0.5814392566680908
wta_300x600x1.txt,8226.999202364856,0.5578739643096924
wta_300x600x2.txt,137.79974945573616,0.8389337062835693
wta_300x600x3.txt,16.00443923102516,1.1533925533294678
wta_350x700x1.txt,9147.759910295392,0.859459400177002
wta_350x700x2.txt,148.4519344146828,1.262211799621582
wta_350x700x3.txt,13.384674598661105,1.6934986114501953
wta_400x800x1.txt,11591.156504498187,1.247213363647461
wta_400x800x2.txt,162.7423665691445,1.8413655757904053
wta_400x800x3.txt,14.343189642957098,2.5798065662384033
wta_450x900x1.txt,12647.769683773,1.7063343524932861
wta_450x900x2.txt,167.42347606952185,2.7680678367614746
wta_450x900x3.txt,14.898883202478354,3.690202474594116
wta_500x1000x1.txt,13259.524214738965,2.2395410537719727
wta_500x1000x2.txt,158.90889869197377,3.4710745811462402
wta_500x1000x3.txt,14.30277275461994,4.6441650390625
wta_50x100x1.txt,1782.6876443567621,0.030838727951049805
wta_50x100x2.txt,148.92756458889744,0.009084224700927734
wta_50x100x3.txt,22.384524442264382,0.010585784912109375
